index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.cbsnews.com/news/hospitals-flood-risk-trump-climate/,https://www.cbsnews.com/news/hospitals-flood-risk-trump-climate/,0,www.cbsnews.com,These hospitals face major flood risk. Experts say Trump is making it worse.,"Hospitals across the U.S. are at risk of significant flooding, and climate experts warn that the Trump administration's cuts leave the nation less prepared.",https://assets3.cbsnewsstatic.com/hub/i/r/2025/09/25/d000be6a-c607-42f0-a471-0f6251ea250f/thumbnail/1200x630/43c3f260f187712944bd2c10c05683fe/hospital-flood-risk10.jpg,2025-10-01T10:00:18Z,,"LOUISVILLE, Tenn. — When a big storm hits, Peninsula Hospital could be underwater.
At this decades-old psychiatric hospital on the edge of the Tennessee River, an intense storm could submerge the bu… [+23631 chars]",,en,'flooding disaster'
https://kffhealthnews.org/news/article/hospital-flooding-risk-investigation-trump-policies-fema/,https://kffhealthnews.org/news/article/hospital-flooding-risk-investigation-trump-policies-fema/,0,kffhealthnews.org,At Least 170 US Hospitals Face Major Flood Risk. Experts Say Trump Is Making It Worse.,"As a warming climate intensifies storms, KFF Health News has identified more than 170 U.S. hospitals at risk of significant and potentially dangerous flooding. Climate experts warn that the Trump administration’s cuts leave the nation less prepared.",https://kffhealthnews.org/wp-content/uploads/sites/2/2025/09/Hospital-Flood-Risk04_3840x2560web.jpg,2025-10-01T10:01:00Z,,Flood risk data provided by Fathom shows estimated flooding at four American hospitals. CAMC Memorial and Sherman Oaks Hospital officials said in statements that they were aware of their flood risk a… [+26030 chars],,en,'flooding'
https://www.dispatch.com/story/lifestyle/kindness/2025/10/01/legend-hills-orchard-receives-outpouring-of-support-after-fire/86427168007/,https://www.dispatch.com/story/lifestyle/kindness/2025/10/01/legend-hills-orchard-receives-outpouring-of-support-after-fire/86427168007/,0,www.dispatch.com,'Unbelievable' support floods in after central Ohio family loses farm market to fire,"The fire devastated the family-owned orchard's farm market in the height of apple picking season, which has since come to an unexpected end.",https://media.zenfs.com/en/the-columbus-dispatch/e872130a5bbdc3632c3f40a9aeb2c4c0,2025-10-01T10:05:30Z,,"Doug Hoar was still awake in the early hours of the morning on Sept. 28, chatting with his wife, when the pair noticed a fire across the road at the family's apple orchard.
The couple called 911, bu… [+3645 chars]",,en,'floods'
https://en.protothema.gr/2025/10/01/five-key-priorities-for-winter-preparedness-high-level-meeting-at-the-ministry-of-climate-crisis-and-civil-protection/,https://en.protothema.gr/2025/10/01/five-key-priorities-for-winter-preparedness-high-level-meeting-at-the-ministry-of-climate-crisis-and-civil-protection/,0,en.protothema.gr,Five key priorities for winter preparedness – High-level meeting at the Ministry of Climate Crisis and Civil Protection,"Yannis Kefalogiannis stressed that what is important is to see clearly which issues create difficulties every year in the management of severe weather events, such as floods, snowfall and frost, so that we can deal with them in a timely and effective manner
T…",https://en.protothema.gr/wp-content/uploads/2025/10/suskepsi.png.png,2025-10-01T14:18:14Z,,"A coordination meeting was convened by the Minister of Climate Change and Civil Protection, Yannis Kefalogiannis, with all relevant stakeholders for better coordination of the mechanism and optimal p… [+5747 chars]",,en,'floods'
https://www.thejournal.ie/heres-what-you-need-to-know-as-storm-amy-sweeps-in-6833283-Oct2025/,https://www.thejournal.ie/heres-what-you-need-to-know-as-storm-amy-sweeps-in-6833283-Oct2025/,0,www.thejournal.ie,Storm Amy: Everything you need to know as the first named storm of the season sweeps in,"While flooding was the main concern yesterday, strong winds threaten to damage power lines today.",https://img2.thejournal.ie/article/6833283/river/?height=400&version=6833285,2025-10-02T23:05:49Z,,"THE FIRST NAMED storm of the season, Storm Amy, makes landfall today with Met Éireann warning of fallen trees, power cuts and dangerous travelling conditions.
Ahead of its arrival, Ireland was subje… [+5209 chars]",,en,'flooding'
https://landezine.com/springdale-green-urban-biodiversity-renewed-by-dwg/,https://landezine.com/springdale-green-urban-biodiversity-renewed-by-dwg/,0,landezine.com,Springdale Green: Urban Biodiversity Renewed by dwg.,Springdale Green is a groundbreaking transformation of a 30-acre remediated brownfield into a thriving ecological workplace campus. The property was subject to regular localized flooding and was over-run with invasive species that resulted in an ecologically …,https://landezine.com/wp-content/uploads/2025/09/00-main-project-photo-1270x714.jpg,2025-10-03T05:14:00Z,,Springdale Green is a groundbreaking transformation of a 30-acre remediated brownfield into a thriving ecological workplace campus. The property was subject to regular localized flooding and was over… [+3773 chars],,en,'flooding'
https://www.thejournal.ie/storm-amy-update-flooding-power-cuts-warning-6834177-Oct2025/,https://www.thejournal.ie/storm-amy-update-flooding-power-cuts-warning-6834177-Oct2025/,0,www.thejournal.ie,Storm Amy: Warning of 'significant risk of flooding' and power cuts amid strong rain and winds,A number of flights at Dublin Airport have been impacted by the storm today.,https://img2.thejournal.ie/article/6834177/river/?height=400&version=6834195,2025-10-03T11:57:57Z,,"AUTHORITIES HAVE WARNED of a significant risk of flooding and widespread disruption as Storm Amy sweeps across the country with gale-force winds and heavy rain.
Storm Amy, the first named storm of t… [+2880 chars]",,en,'flooding storm'
https://www.thehindubusinessline.com/economy/agri-business/imd-issues-cyclone-shakti-warning-for-maharashtra-heavy-rains-expected-from-october-4-7/article70123990.ece,https://www.thehindubusinessline.com/economy/agri-business/imd-issues-cyclone-shakti-warning-for-maharashtra-heavy-rains-expected-from-october-4-7/article70123990.ece,0,www.thehindubusinessline.com,IMD issues cyclone 'Shakti' warning for Maharashtra; heavy rains expected from October 4-7,"IMD has forecast heavy to very heavy rains in the interior parts of Maharashtra, particularly in East Vidarbha and parts of Marathwada, with a possibility of flooding in the low-lying areas",https://bl-i.thgim.com/public/incoming/d5dipz/article70124014.ece/alternates/LANDSCAPE_1200/PTI10_02_2025_000441B.jpg,2025-10-04T04:42:00Z,,"The India Meteorological Department (IMD) has issued cyclone 'Shakti' warning for some districts of Maharashtra, with high to moderate cyclone warning between October 3 and 7.
According to the relea… [+1174 chars]",,en,'flooding evacuation'
https://indianexpress.com/article/political-pulse/mamata-banerjee-dvc-man-made-floods-west-bengal-political-row-10288832/,https://indianexpress.com/article/political-pulse/mamata-banerjee-dvc-man-made-floods-west-bengal-political-row-10288832/,0,indianexpress.com,Decode Politics: Do Mamata Banerjee’s attacks on Central agency over ‘man-made’ floods in Bengal hold water?,"Since 2021, the CM has accused Damodar Valley Corporation of “unilateral, wilful” release of dam water, flooding Bengal, reinforcing her complaint of Centre's “stepmotherly” treatment",https://images.indianexpress.com/2025/10/Mamata-Banerjee-e1759650621408.jpg,2025-10-05T07:54:09Z,,"Just over six months ahead of the West Bengal Assembly polls, the ruling Trinamool Congress (TMC) has found a new line of attack against the BJP-led Centre. Once again raising the issue of the Centre… [+5611 chars]",,en,'floods'
https://www.aljazeera.com/news/2025/10/5/at-least-47-killed-in-nepal-as-heavy-rains-trigger-landslides-flash-floods,https://www.aljazeera.com/news/2025/10/5/at-least-47-killed-in-nepal-as-heavy-rains-trigger-landslides-flash-floods,0,www.aljazeera.com,"At least 47 killed in Nepal as heavy rains trigger landslides, flash floods",Heavy rains continue to disrupt rescue operations in Himalayan nation as authorities struggle to respond to the crisis.,https://www.aljazeera.com/wp-content/uploads/2025/10/2025-10-04T130334Z_536295702_RC2Y4HAPMTQC_RTRMADP_3_ASIA-WEATHER-NEPAL-1759647067.jpg?resize=1920%2C1440,2025-10-05T08:34:29Z,,"Landslides and flash floods, triggered by heavy rains, have killed at least 47 people, blocked roads and washed away bridges in Nepal.
Thirty-five people were killed in separate landslides in the Il… [+3295 chars]",,en,'flooding disaster'
