,Hazard,Mitigation,Impacts,Causes
2025-01-05,2,0,0,0
2025-01-06,2,0,0,0
2025-01-07,3,0,0,0
2025-01-08,0,0,0,0
2025-01-09,1,0,0,0
2025-01-11,3,0,0,0
2025-01-12,1,0,0,0
2025-01-13,1,0,0,0
2025-01-14,4,0,0,0
2025-01-16,1,0,0,0
2025-01-17,3,0,0,0
2025-01-19,0,0,0,0
2025-01-20,1,0,0,0
2025-01-21,4,0,0,0
2025-01-22,8,0,0,0
2025-01-23,2,0,0,0
2025-01-24,5,0,0,0
2025-01-25,9,0,0,0
2025-01-26,2,0,0,0
2025-01-27,7,0,0,0
2025-01-28,6,0,1,0
2025-01-29,7,0,0,0
2025-01-30,5,0,0,0
2025-01-31,11,0,0,0
2025-02-01,3,0,0,0
2025-02-02,8,0,0,0
2025-02-03,16,0,0,0
2025-02-04,10,0,0,0
2025-02-05,4,0,0,0
2025-02-06,6,0,0,0
2025-02-07,7,0,0,0
2025-02-08,3,0,0,0
2025-02-09,3,0,0,0
2025-02-10,7,0,0,0
2025-02-11,12,0,0,0
2025-02-12,18,0,0,0
2025-02-13,24,0,0,0
2025-02-14,15,0,0,0
2025-02-15,9,0,0,0
2025-02-16,15,0,0,0
2025-02-17,37,0,0,0
2025-02-18,11,0,0,0
2025-02-19,12,0,0,0
2025-02-20,3,0,0,0
2025-02-21,4,0,1,0
2025-02-22,2,0,0,0
2025-02-23,3,0,0,0
2025-02-24,5,0,0,0
2025-02-25,9,0,0,0
2025-02-26,8,0,0,0
2025-02-27,3,0,0,0
2025-02-28,5,0,0,0
2025-03-01,3,0,0,0
2025-03-02,2,0,0,0
2025-03-03,6,0,0,0
2025-03-04,10,0,0,0
2025-03-05,10,0,0,0
2025-03-06,7,0,0,0
2025-03-07,12,0,0,0
2025-03-08,14,0,0,0
2025-03-09,12,0,0,0
2025-03-10,24,0,1,0
2025-03-11,7,0,0,0
2025-03-12,13,0,0,0
2025-03-13,11,0,0,0
2025-03-14,8,0,0,0
2025-03-15,5,0,0,0
2025-03-16,4,0,0,0
2025-03-17,1,0,0,0
2025-03-18,5,0,0,0
2025-03-19,15,0,0,0
2025-03-20,10,0,0,0
2025-03-21,11,0,0,0
2025-03-22,7,0,0,0
2025-03-23,8,0,0,0
2025-03-24,9,0,0,0
2025-03-25,5,0,0,0
2025-03-26,8,0,0,0
2025-03-27,8,0,0,0
2025-03-28,16,0,0,0
2025-03-29,9,0,0,0
2025-03-30,2,0,0,0
2025-03-31,7,0,0,0
2025-04-01,17,0,0,0
2025-04-02,19,0,0,0
2025-04-03,14,0,0,0
2025-04-04,16,0,0,0
2025-04-05,11,0,0,0
2025-04-06,22,0,3,0
2025-04-07,37,0,3,0
2025-04-08,18,0,0,0
2025-04-09,12,0,0,0
2025-04-10,9,0,0,0
2025-04-11,12,0,0,0
2025-04-12,6,0,0,0
2025-04-13,11,0,0,0
2025-04-14,3,0,0,0
2025-04-15,7,0,0,0
2025-04-16,10,0,0,0
2025-04-17,8,0,0,0
2025-04-18,2,0,0,0
2025-04-19,2,0,0,0
2025-04-20,8,0,0,0
2025-04-21,6,0,0,0
2025-04-22,8,0,0,0
2025-04-23,6,0,0,0
2025-04-24,9,0,0,0
2025-04-25,1,0,0,0
2025-04-27,6,0,0,0
2025-04-28,2,0,0,0
2025-04-29,10,0,0,0
2025-04-30,23,0,0,0
2025-05-01,6,0,0,0
2025-05-02,10,0,0,0
2025-05-03,5,0,0,0
2025-05-04,8,0,0,0
2025-05-05,5,0,0,0
2025-05-06,4,0,0,0
2025-05-07,4,0,0,0
2025-05-08,8,0,0,0
2025-05-09,5,0,0,0
2025-05-10,8,0,0,0
2025-05-11,7,0,0,0
2025-05-12,15,0,0,0
2025-05-13,5,0,0,0
2025-05-14,14,0,0,0
2025-05-15,6,0,0,0
2025-05-16,4,0,0,0
2025-05-17,3,0,0,0
2025-05-18,2,0,0,0
2025-05-19,4,0,0,0
2025-05-20,13,0,0,0
2025-05-21,21,0,0,0
2025-05-22,32,0,0,0
2025-05-23,11,0,0,0
2025-05-24,6,0,0,0
2025-05-25,7,0,0,0
2025-05-26,8,0,0,0
2025-05-27,11,0,0,0
2025-05-28,4,0,0,0
2025-05-29,6,0,0,0
2025-05-30,21,0,0,0
2025-05-31,30,0,0,0
2025-06-01,19,0,0,0
2025-06-02,13,0,0,0
2025-06-03,6,0,2,0
2025-06-04,8,0,0,0
2025-06-05,8,0,0,0
2025-06-06,7,0,0,0
2025-06-07,3,0,0,0
2025-06-08,8,0,0,0
2025-06-09,9,0,0,0
2025-06-10,6,0,0,0
2025-06-11,3,0,0,0
2025-06-12,15,0,0,0
2025-06-13,12,0,0,0
2025-06-14,16,0,0,0
2025-06-15,9,0,0,0
2025-06-16,9,0,0,0
2025-06-17,8,0,0,0
2025-06-18,4,0,0,0
2025-06-19,14,0,1,0
2025-06-20,10,0,0,0
2025-06-21,2,0,0,0
2025-06-23,7,0,0,0
2025-06-24,4,0,0,0
2025-06-25,5,0,0,0
2025-06-26,11,0,0,0
2025-06-27,11,0,0,0
2025-06-28,9,0,0,0
2025-06-29,5,0,0,0
2025-06-30,3,0,0,0
2025-07-01,10,0,0,0
